AMD,CSCO,QCOM
84.56,53.13,135.35
80.11,53.47,134.95
80.47,53.79,135.58
81.55,54.17,137.31
81.31,54.77,134.62
81.56,55.03,134.22
79.96,54.02,132.89
80.89,54.13,134.2
81.35,53.92,133.32
81.58,54.07,134.34
80.28,53.33,131.78
81.97,52.96,133.82
80.81,52.62,133.94
80.08,52.9,134.54
78.42,52.92,133.64
78.34,52.91,133.09
77.86,53.31,133.75
77.44,53.39,132.91
77.17,52.43,131.46
78.06,52.85,132.64
76.23,52.47,130.66
74.44,52.93,128.91
74.65,52.94,129.8
74.59,52.9,130.15
73.09,52.49,127.11
74.64,51.6,124.62
76.83,52.83,128.37
75.99,53.16,128.94
78.81,53.43,137.85
77.89,52.44,136
77.83,51.13,134.65
78.61,50.71,134.12
78.55,51.17,137.43
81.62,50.91,138.8
83.91,51.46,142.68
84.02,51.11,136.57
85.21,51.37,138.01
85.41,51.64,138.96
82.76,51.91,135.43
79.06,51.5,132.97
81.61,51.93,136.19
79.27,51.79,133.4
81.11,52.85,135.25
82.15,52.8,138.21
83.01,51.64,137.84
78.55,51.37,134.75
80.19,51.66,137.3
78.58,51.57,137.44
82.76,52.09,140.57
83.35,51.91,140.34
82.2,51.77,139.43
81.44,52.025,138.06
81.43,52.41,140.33
81.09,51.98,137.79
78.5,51.71,132.59
76,51.77,130.11
77.14,52.52,131.27
77.41,52.57,132.99
76.22,50.51,127.28
76.48,49.65,127.18
78.38,50.01,132.52
80.3,50.3,134.09
79.06,48.98,131.02
78.12,48.8,129.75
82.63,49.42,133.92
82.75,49.67,133.65
82.5,49.41,131.64
81.05,48.82,129.98
81.23,48.8,131.74
77.52,48.29,127.87
78.53,47.89,129.11
73.96,47.51,123.2
78.52,46.25,129.75
77.75,44.56,127.8
80.86,45.13,131.66
84.13,45.515,137.04
86.39,45.92,139.49
84.51,44.87,136.19
82.42,45.52,135.53
86.94,45.74,141.1
84.74,45.51,137.12
85.37,45.43,139.46
89.58,45.68,144.94
88.64,46.34,143.91
89.94,46.25,144.75
91.46,46.51,147.16
93.77,47.29,147.98
92.66,47.58,145.56
92.35,47.24,145.5
90.91,48.5,146.11
91.47,48.94,147.38
87.9,48.08,145.84
87.84,47.25,147.97
87.89,45.77,162.3
88.86,45.83,164.78
87.66,45.4,161.58
85.64,44.58,156.28
87.52,45.34,155.55
88.84,45.7,153.67
94.71,45.26,162.55
94.13,45.03,164.4
92.79,44.77,162.42
91.53,45.11,164.75
88.75,45.34,164.6
89.45,45.19,163.77
88.21,45.43,157.09
90.79,45.15,160.85
91.78,45.36,157.42
95.355,45.79,154.45
97.25,45.36,156.11
94.58,45.06,156.64
95.16,44.96,155.7
90.33,44.4,151.19
92.77,43.98,152.43
92.3,43.96,148.5
91.71,44.75,152.34
92.29,44.48,149.95
90.62,44.64,148.49
91.6,44.92,147.74
91.81,44.54,148.79
91.55,44.375,146.96
93.16,44.69,146.34
93.23,44.88,146.8
95.92,45.44,147.42
96.84,44.82,149.53
96.85,44.72,149.74
97.12,44.72,148.36
94.78,44.24,146.29
91.65,44.32,144.28
91.66,44.32,155.75
89.83,44.69,156.02
92.92,44.37,158.8
94.07,44.35,158.02
94.04,44.38,157.62
92.31,44.11,149.91
93.74,43.89,149.98
92.63,43.54,151.26
92.66,43.02,147.17
87.19,42.7,143.83
86.71,42.5,144.08
85.07,42.61,145.93
85.31,41.64,143.82
84.64,40.97,146.03
85.54,41.17,147.53
82.54,41.32,147.05
83.36,41.88,148.74
83.73,42.54,149.07
81.43,41.4,144.26
81.84,38.67,143.91
81.28,39.33,147.69
77.99,38.72,140.11
83.12,38.2,142.61
85.88,37.53,145.01
83,37.23,145.41
81.35,36.57,128.97
76.58,36.68,125.45
74.7,35.9,123.97
75.29,35.9,123.36
78.02,35.69,126.44
76.4,35.71,121.58
78.88,36.87,125.91
82.23,37.67,126.2
81.96,38.82,128.88
79.42,38.82,128.38
79.2,39.06,128.55
81.56,39.2,128.3
82,39.3,128.42
83.17,40.16,129.03
83.13,39.97,128.58
84.21,39.89,129.88
85.28,39.81,127.46
84.29,40.36,126.69
83.1,39.85,124.87
86.51,39.79,122.34
86.69,39.4,123.03
84.48,38.57,119.54
86.15,38.57,120.52
81.8,38.27,115.47
84.86,38.8,119.52
81.99,39.39,117.68
81.77,39.06,117.38
79.48,39.13,118.47
78.055,38.45,114.5
75.82,37.85,112.19
74.73,38.28,110.57
77.7,39.32,113.82
77.94,39.04,111.92
74.93,39.81,110.69
76.55,40.37,114.88
76.66,40.42,114.56
78.93,40.6,116.58
77.9,40.37,113.46
76.34,39.88,113.42
78.98,39.57,112.44
81.91,40.13,114.02
78.69,40,109.77
82.01,40.82,115.97
82.54,40.95,116.43
90.22,42.42,123.18
92.18,42.03,122.01
90.82,42.22,119.1
85.55,42.2,118.2
83.8,42.29,116.02
86.02,42.25,116.04
86.35,41.96,115.95
83.08,42.18,115.91
83.81,42.25,113
82.77,42.31,110.66
81.09,41.87,111.04
81.66,41.98,112.03
82.42,42.09,112.18
81.3,42.5,113.74
81.84,42.72,113.41
82.61,48.1,115.79
76.88,47.19,108.83
82.24,47.73,106.36
84.85,47.43,108.25
86.71,47.77,111.06
85.31,47.33,111.39
85.04,47.67,110.95
77.67,47.16,109.59
77.43,47.1,105.61
78.2,46.44,107.19
76.09,46.71,93.03
67.61,46.28,91.45
68.97,47.19,92.7
69.4,46.4,88.89
59.57,47.41,89.67
61.79,46.9,92.6
57,47.02,92.31
57.46,46.97,93.17
55.04,46.75,92.23
54.92,45.78,91.2
55.34,46.4,92.55
54.72,46.26,92.38
53.59,45.93,91.33
55.88,46.66,92.51
57.255,46.7,93.25
53.43,45.81,93.53
52.93,45.63,92.14
53.4,46.42,92.92
52.34,45.63,91.87
52.58,46.06,89.78
52.61,46.64,91.21
50.28,46.15,89.01
50.1,46.31,88.02
51.93,45.22,88.96
52.39,44.75,89.14
53.99,45.47,89.35
54.76,45.16,89.13
54.23,45.32,88.81
54.04,45.83,89.92
54.55,46.17,89.94
54.46,46.48,89.52
54.68,45.35,86.39
53.5,45.07,85.24
52.83,43.67,84.02
57.44,47.42,91.01
56.39,48.05,89.75
52.97,48.13,91.37
53.1,47.83,88.55
52.63,46.86,86.04
52.73,46.94,84.11
53.54,46.89,84.63
53.63,46.3,79.73
53.8,47.82,80.88
51.74,45.595,78.11
52.74,45.96,79.29
53.19,44.84,78.02
55.17,44.9,78.7
54.65,44.64,78
56.39,45.44,80.63
55.47,44.605,78.09
54.59,45.06,79.94
54.2,44.27,75.77
54.51,43.85,79.87
52.18,41.95,78
53.76,43.22,78.42
55.74,43.32,80.48
53.19,42.99,80.56
51.95,41.37,78.83
52.16,41.15,78.87
52.19,41.46,77.63
52.56,41.35,75.68
49.88,40.92,75.64
52.39,42.38,78.67
53.66,43.34,78.97
55.51,42.49,75.29
56.49,43.06,75.98
56.18,42.52,76.04
55.9,41.62,73.81
55.92,41.76,74.68
52.92,40.55,71.84
56.97,42.54,74.31
56.6,42.48,76.17
56.95,41.5,76.85
54.99,41.52,75.99
54.93,42.78,77.55
50.94,41.22,73.3
48.38,41.2,71.58
48.79,41.74,73.33
47.56,40.64,72.73
47.52,41.43,70.95
42.59,39.06,65.23
44.49,39.8,68.02
43.66,38.33,65.9
45.48,39.31,67.65
47.86,40.32,69.03
46.58,38.82,66.59
47.5,40.58,68.98
44.63,37.67,63.08
46.22,38.6,65.46
41.64,34.6,62.53
39.61,35.6,60.91
39.82,37.71,65
39.12,37.12,61.19
41.88,35.5,68.86
38.71,33.71,64.48
43.9,37.64,75.81
39.01,33.2,67.02
45.7,37.05,74.62
45.38,40.08,78.89
43.27,37.96,72.64
48.59,39.68,77.47
48.11,39.57,79.17
50.11,41.39,81.8
46.75,40.04,78.56
47.46,41.17,80.56
45.48,39.93,78.3
44.01,40.04,75.94
47.49,42.16,79.66
47.57,42.74,80.22
49.12,44,83.32
53.28,46.295,87.03
57.27,46.85,89.47
58.9,46.29,90.56
56.89,46.59,88.03
55.31,46.97,89.6
54.53,47.32,90.03
53.89,49.93,91.72
53.8,49.13,90
52.26,48.87,88.6
49.73,47.97,87.42
49.32,48.69,90.61
49.84,48.45,90.91
49.45,47.62,88.93
48.02,46.53,86.48
47,45.97,85.31
48.78,47.24,87.78
47.51,47.05,88.23
50.53,47.77,89.15
49.26,47.47,87.05
50.35,48.85,89.65
51.71,49,92
51.43,49.06,92.97
51.05,48.8,94.54
50.93,49.02,95.91
49.77,49.05,91.79
48.545,48.01,89.67
48.21,47.79,90.56
48.745,47.97,90.97
48.165,47.13,90.26
48.97,47.32,89.91
47.83,47.52,88.71
48.25,47.49,88.97
48.39,47.8,86.51
48.6,47.63,87.02
49.1,48.42,88.69
45.86,47.96,88.23
45.52,47.59,88.43
46.18,47.77,88.8
46.63,47.85,88.4
46.54,47.78,88.77
45.46,48.1,88.45
44.15,47.45,88.85
42.83,47.88,88.49
42.3,46.64,87.98
42.77,46.44,88.32
42.35,45.98,88.43
41.15,45.3,87.83
42.59,45.67,89.05
39.47,44.28,86.99
39.44,44.1,84.115
38.93,43.9,84.92
39.63,43.84,83.82
39.62,43.52,82.585
39.69,43.89,82.08
38.9,44.28,80.58
38.73,44.7,82.45
39.15,45.31,83.55
39.41,45.24,84.8
38.99,45.31,84.63
39.79,45.45,85.29
39.15,44.85,84.89
39.52,44.84,85.11
40.98,45.08,85.62
41.29,45.47,87.96
39.88,45.15,90.48
38.56,45.09,90.81
38.35,44.91,90.48
37.52,48.46,90.47
36.71,48.37,90.97
36.31,48.1,91.84
36.29,48.83,94.03
36.28,48.42,89.98
35.93,48.27,84.63
36.15,47.76,85.46
36.29,47.48,85.09
34.89,47.03,83.58
33.93,47.51,80.44
33.13,47.56,81.44
33.03,47.24,81.66
33.69,47.17,83.05
32.71,46.9,80.17
31.72,46.41,78.99
31.36,47.05,77.24
31.51,47.55,78.47
32.03,47.39,78.98
30.97,46.71,77.68
31.14,47.03,78.97
30.81,46.79,78.23
30.72,46.36,77.82
30.53,46.05,76.3
29.75,46.56,76.7
28.38,46.15,74.97
28.46,46.84,74.35
28.23,46.39,72.85
28.93,47.77,76.34
29.01,47.52,77.49
28.68,47.06,75.73
28.31,46.56,73.99
28.76,47.74,75.47
28.99,49.41,76.28
28.72,48.84,76.63
29.47,48.83,77.35
29.54,49.605,77.26
29.52,49.12,75.23
30.64,49.42,77.24
30.05,49.6,76.44
30.29,49.19,78.23
30.42,49.34,78.9
30.99,49.41,78.69
30.83,49.96,78.04
30.69,50.03,78.41
30.21,49.93,79.08
29.76,50.03,79.9
30.23,49.21,78.71
30.5,48.58,78.21
30.56,48.84,78.84
31.5,48.42,78.99
30.95,47.32,77.09
30.9,46.5,75.12
31.45,46.81,77.77
31.45,47.27,76.45
30.78,46.87,74.35
30.2,46.79,73.97
30.28,47.1,72.91
29.54,46.61,73.52
31.9,48.18,77.15
31.7,48.77,76.7
30.72,47.93,76.07
31.48,48.5,74.87
31.18,46.96,73.28
29.67,46.25,71.16
30.24,50.61,70.88
32.11,52.72,72.18
32.43,51.54,69.8
34.19,52.43,71.5
33.92,53.16,71.26
29.19,52.34,69.4
28.86,52.6,68.17
27.99,51.37,68.8
29.44,53.25,71.15
29.86,55.39,71.2
30.45,55.4,73.16
33.87,56.47,74.81
33.48,56.93,74.97
34.02,56.53,75.22
33.67,56.62,75.35
34.11,57.23,75.87
33.49,57.71,74.12
32.85,57.73,75.95
32.51,57.36,75
33,57.74,74.37
33.6,57.21,75.76
33.85,57.62,75.67
34.39,58.05,75.43
33.21,57.95,74.9
33.06,57.3,73.71
33.79,57.13,74.36
33.15,56.34,76.55
32.04,56.19,76.63
31.5,56.6,76.66
31.19,56.48,76.63
31.24,55.81,77.01
31.2,54.74,77.52
30.37,54.73,76.07
30.74,55.73,75.43
29.92,56.6,74.95
28.86,56.08,72.55
29.26,57.18,73.16
29.1,57.03,72.72
30.01,57.41,72.74
30.5,56.13,71.8
30.45,56.05,71.96
29.2,55.4,69.11
30.36,54.75,68.72
31.39,56.17,69.93
32.18,55.86,69.59
32.41,57.11,71.24
33.23,56.42,70.54
32.41,55.93,68.69
31.82,55.1,67.59
29.5,54.75,67.02
29.57,53.23,68.45
27.58,51.78,66.66
27.41,52.03,66.82
28.03,53.57,66.59
28.09,53.18,65.76
29.03,53.93,65.37
26.44,54.37,66.21
26.36,54.19,68.255
27.41,55.69,69.31
27.35,56.52,77.75
26.68,56.01,76.62
27.5,56.35,81.5
28.01,55.93,82.81
27.58,52.44,86.26
27.32,52.02,86.13
26.24,51.3,83.89
27.96,53.36,85.84
27.21,52.92,83.78
27.09,53.47,84.54
26.66,53.45,85.2
27.42,54.59,88.25
28.22,54.94,89.29
28.29,54.94,87.14
26.81,55.58,86.37
27.63,55.95,86.13
27.69,56.13,87.25
27.88,55.88,86.64
27.66,56.33,85.07
28.46,56.88,86.83
27.97,56.69,86.72
28.18,56.34,81.97
27.68,56.4,79.89
27.49,56.31,79.08
27.93,56.95,70.45
27.33,56.56,57.18
27.85,56.29,56.95
27.79,55.6,55.9
27.83,55.82,56.33
27.24,55.18,57.44
28.53,55.49,57.76
28.98,55.21,57.99
29.09,55.14,57.86
29.02,55.63,57.68
26.75,55.29,58.09
26.36,54.98,57.81
25.52,53.99,57.03
25.06,53.36,56.55
24.89,53.14,56.91
25.69,53.23,58
25.97,52.73,56.64
26.37,52.74,56.82
27.89,53.94,57.77
25.7,53.26,57.16
26,53.31,56.97
23.25,53.51,56.83
23.29,53.2,56.6
22.82,52.74,55.4
23.38,52.59,55.39
23.49,52.15,54.84
22.96,51.92,54.35
22.01,51.07,53.53
22.08,51.29,54.03
22.41,51.67,54.8
23.5,51.3,53.94
23.37,51.16,53.78
23.68,51.41,54.2
23.53,51.77,53.39
23.48,51.59,53.04
24.21,51.18,53.03
24.71,50.79,52.99
24.36,50.11,53.12
23.92,49.41,52.35
23.95,49.63,52.45
23.95,49.65,52.01
23.68,49.43,51.98
23.13,48.4,51.57
22.85,47.5,51.59
22.82,47.89,51.66
22.96,47.58,50.83
23.05,47.19,50.29
22.67,46.7,50.55
23.26,47.48,51.1
23.31,47.26,50.73
24.13,47.35,49.69
24.51,47.34,49.61
24.41,47.29,49.52
23.09,46.71,50.17
19.25,45.96,49.4
20.18,45.75,50.64
21.93,46.13,51.3
20.85,45.61,50.81
19.8,45.46,51.77
19.76,44.78,54.29
20.77,45.03,55.27
20.25,44.21,54.77
19.73,43.96,55.27
20.38,44.02,55.73
20.23,43.21,57.3
20.27,43.49,57.5
19.74,43.24,56.8
20.19,43.32,56.61
20.75,43.56,55.95
20.57,43.21,56.44
19,42.92,56.6
17.05,41.07,55.7
18.83,42.95,57.4
18.46,43.33,56.91
17.82,42.77,56.81
17.49,42.91,56.09
17.9,42.47,55.96
16.65,40.28,53.65
16.93,41.85,54.85
17.94,42.49,56.37
18.16,43.14,56.69
19.5,44.06,57.78
18.83,44.2,57
19.9,45.82,57.62
19.86,47.47,58.09
20.48,47.42,57.72
19.98,47.09,57.35
19.99,46.86,57.24
19.46,46.44,55.99
21.3,48.39,57.11
21.12,47.35,57.73
23.71,48.74,59.14
21.3,47.87,58.26
21.43,47.34,58.11
21.34,47.29,56.65
21.05,46.12,55.57
20.08,45.57,55.73
19.38,44.54,55.25
18.73,44.89,55.27
19.21,44.49,54.92